Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
1,51.516834,-0.076199,1,2,15,3,1,0,Cobb Street,"Leyden Gallery, 9A, Cobb Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 7LB, United Kingdom",E1 7LB,2.0
0,51.515196,-0.071772,1,2,5,1,1,0,Whitechapel High Street,"Whitechapel High Street, East Smithfield, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 8FA, United Kingdom",E1 8FA,1.0
1,51.517576,-0.079786,1,2,14,3,4,0,Bishopsgate,"Bishopsgate Police Station, 182, Bishopsgate, City of London, Greater London, England, EC2M 4NP, United Kingdom",EC2M 4NP,43.0
0,51.513389,-0.080034,1,2,13,3,1,0,Leadenhall Street,"100, Leadenhall Street, Bishopsgate, City of London, Greater London, England, EC3A 4AA, United Kingdom",EC3A 4AA,52.0
1,51.517184,-0.076747,1,1,8,3,4,0,Strype Street,"Monument Apartments, 6, Strype Street, Aldgate, London Borough of Tower Hamlets, London, Greater London, England, E1 7LG, United Kingdom",E1 7LG,27.0
1,51.516814,-0.08162,1,2,15,3,4,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,2.0
0,51.516814,-0.08162,1,2,15,3,6,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,15.0
0,51.51265,-0.101452,1,2,5,1,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,1.0
0,51.51265,-0.101452,1,3,13,0,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,1.0
1,51.52029,-0.078591,1,2,3,0,1,0,Spital Yard,"Aga, Spital Yard, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 6EQ, United Kingdom",E1 6EQ,7.0
1,51.509547,-0.076031,0,1,0,2,0,0,Tower Hill,"Tower Hill Postern, Tower Hill, Tower Liberty, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, EC3N 4AA, United Kingdom",EC3N 4AA,19.0
0,51.508066,-0.08778,1,2,13,3,0,0,King William Street,"London Bridge, King William Street, Cornhill, City of London, Greater London, England, EC4R 9AN, United Kingdom",EC4R 9AN,2.0
1,51.510651,-0.080322,1,1,10,2,1,0,Mark Lane,"Corn Exchange, 55, Mark Lane, Bishopsgate, City of London, Greater London, England, EC3R 7NE, United Kingdom",EC3R 7NE,24.0
0,51.51265,-0.101452,1,2,7,1,1,0,St Andrew's Hill,"The Cockpit, 7, St Andrew's Hill, Blackfriars, City of London, Greater London, England, EC4V 5BY, United Kingdom",EC4V 5BY,4.0
0,51.514151,-0.074958,1,2,5,1,0,0,Aldgate High Street,"Aldgate House, 33, Aldgate High Street, Aldgate, City of London, Greater London, England, EC3N 1DL, United Kingdom",EC3N 1DL,2.0
1,51.511625,-0.081549,1,1,15,3,4,0,Mincing Lane,"Minster Court, 1, Mincing Lane, Cornhill, City of London, Greater London, England, EC3R 7AA, United Kingdom",EC3R 7AA,19.0
1,51.516886,-0.090985,1,3,15,3,1,0,Basinghall Avenue,"Standard Chartered, 1, Basinghall Avenue, Barbican, City of London, Greater London, England, EC2V 5DE, United Kingdom",EC2V 5DE,7.0
0,51.51905,-0.076437,1,1,1,0,1,0,Brushfield Street,"A Pear and a Fig, Brushfield Street, Spitalfields, Whitechapel, London Borough of Tower Hamlets, London, Greater London, England, E1 6AT, United Kingdom",E1 6AT,15.0
0,51.516814,-0.08162,1,1,13,3,1,1,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,48.0
