,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
657,Person and Vehicle search,2020-02-02T05:20:11+00:00,51.515606,-0.094094,Controlled drugs,1
659,Person search,2020-02-02T06:27:50+00:00,51.516497,-0.094115,Controlled drugs,1
661,Person and Vehicle search,2020-02-03T02:33:05+00:00,51.510913,-0.101395,Controlled drugs,1
668,Person search,2020-02-04T03:00:51+00:00,51.516814,-0.08162,Controlled drugs,1
669,Person search,2020-02-04T03:12:48+00:00,51.516814,-0.08162,Controlled drugs,1
674,Person search,2020-02-04T04:03:21+00:00,51.516508,-0.079398,Controlled drugs,1
678,Person search,2020-02-04T08:07:43+00:00,51.512598,-0.084967,Article for use in theft,1
680,Person search,2020-02-05T04:28:09+00:00,51.511616,-0.086551,Stolen goods,1
682,Person search,2020-02-05T10:03:11+00:00,51.511616,-0.086551,Article for use in theft,1
684,Person search,2020-02-06T03:15:46+00:00,51.517576,-0.079786,Stolen goods,1
685,Person search,2020-02-06T03:48:30+00:00,51.513377,-0.096363,Stolen goods,1
687,Person search,2020-02-06T09:15:29+00:00,51.517576,-0.079786,Stolen goods,1
698,Person search,2020-02-07T04:11:29+00:00,51.51142,-0.097699,Stolen goods,1
700,Person and Vehicle search,2020-02-07T05:55:34+00:00,51.518864,-0.097562,Controlled drugs,1
704,Person search,2020-02-07T12:04:57+00:00,51.519017,-0.099818,Article for use in theft,1
709,Person search,2020-02-08T04:23:48+00:00,51.515739,-0.100632,Stolen goods,1
711,Person and Vehicle search,2020-02-08T04:35:27+00:00,51.518226,-0.111497,Controlled drugs,1
715,Person search,2020-02-08T08:41:54+00:00,51.516508,-0.079398,Controlled drugs,1
722,Person search,2020-02-09T05:30:35+00:00,51.511616,-0.086551,Article for use in theft,1
724,Person search,2020-02-09T05:43:13+00:00,51.517576,-0.079786,Article for use in theft,1
735,Person search,2020-02-10T08:27:47+00:00,51.516966,-0.1059,Stolen goods,1
747,Person search,2020-02-12T08:38:47+00:00,51.516508,-0.079398,Controlled drugs,1
757,Person search,2020-02-13T04:44:04+00:00,51.516814,-0.08162,Stolen goods,1
759,Person search,2020-02-13T05:45:20+00:00,51.516476,-0.111181,Articles for use in criminal damage,1
774,Person search,2020-02-16T02:30:01+00:00,51.516497,-0.094115,Controlled drugs,1
789,Person and Vehicle search,2020-02-19T04:39:24+00:00,51.51265,-0.101452,Controlled drugs,1
792,Person and Vehicle search,2020-02-19T07:14:10+00:00,51.51265,-0.101452,Controlled drugs,1
794,Person search,2020-02-19T07:27:26+00:00,51.512682,-0.084618,Stolen goods,1
798,Person search,2020-02-19T12:17:50+00:00,51.514203,-0.094628,Stolen goods,1
800,Person and Vehicle search,2020-02-20T03:13:52+00:00,51.51265,-0.101452,Controlled drugs,1
