,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
6561,2022-04-08 07:36:08,51.510182,-0.092865,Controlled drugs,1
6564,2022-04-08 16:53:39,51.51792,-0.092628,Offensive weapons,1
6593,2022-04-12 07:12:47,51.517431,-0.082458,Controlled drugs,1
6599,2022-04-13 03:29:45,51.517431,-0.082458,Controlled drugs,1
6603,2022-04-13 20:31:01,51.512462,-0.076095,Controlled drugs,1
6607,2022-04-14 01:55:21,51.513389,-0.080034,Controlled drugs,1
6608,2022-04-14 13:29:33,51.51768,-0.078484,Controlled drugs,1
6611,2022-04-14 19:22:48,51.512959,-0.094464,Controlled drugs,1
6628,2022-04-20 04:26:43,51.513581,-0.108418,Controlled drugs,1
6630,2022-04-20 15:15:40,51.509775,-0.085014,Controlled drugs,1
6632,2022-04-20 15:39:51,51.518511,-0.08531,Controlled drugs,1
6637,2022-04-20 21:44:35,51.508066,-0.08778,Article for use in theft,1
6643,2022-04-21 18:11:17,51.5193,-0.093969,Controlled drugs,1
6645,2022-04-21 19:37:05,51.510671,-0.084284,Controlled drugs,1
6646,2022-04-21 19:44:41,51.510671,-0.084284,Controlled drugs,1
6647,2022-04-21 20:30:55,51.515033,-0.07825,Controlled drugs,1
6649,2022-04-21 20:52:50,51.51121,-0.094206,Article for use in theft,1
6650,2022-04-21 20:52:50,51.51866,-0.059878,Article for use in theft,1
6655,2022-04-22 20:34:10,51.512598,-0.084967,Controlled drugs,1
6656,2022-04-23 05:32:09,51.508066,-0.08778,Controlled drugs,1
6657,2022-04-23 18:42:17,51.512147,-0.092077,Stolen goods,1
6658,2022-04-23 18:55:54,51.511118,-0.090203,Article for use in theft,1
6668,2022-04-26 01:18:43,51.513769,-0.076833,Controlled drugs,1
6670,2022-04-26 14:30:46,51.510651,-0.080322,Article for use in theft,1
6671,2022-04-26 14:53:31,51.510651,-0.080322,Article for use in theft,1
6674,2022-04-27 03:14:06,51.508066,-0.08778,Controlled drugs,1
6676,2022-04-27 04:57:10,51.51442,-0.09472,Controlled drugs,1
6677,2022-04-27 05:02:25,51.51442,-0.09472,Controlled drugs,1
6678,2022-04-27 05:09:37,51.51442,-0.09472,Controlled drugs,1
6679,2022-04-27 05:13:27,51.51442,-0.09472,Controlled drugs,1
6680,2022-04-27 05:22:28,51.508066,-0.08778,Controlled drugs,1
6681,2022-04-27 05:43:58,51.509876,-0.086278,Controlled drugs,1
6682,2022-04-27 11:44:12,51.517297,-0.102412,Controlled drugs,1
6683,2022-04-27 11:46:56,51.517297,-0.102412,Controlled drugs,1
6684,2022-04-27 14:56:20,51.518189,-0.082628,Article for use in theft,1
6685,2022-04-27 20:43:08,51.514158,-0.100179,Controlled drugs,1
6686,2022-04-27 22:09:36,51.511625,-0.081549,Article for use in theft,1
6690,2022-04-29 18:57:18,51.525787,-0.105865,Controlled drugs,1
6692,2022-04-30 18:42:58,51.5075,-0.095542,Controlled drugs,1
6693,2022-04-30 19:13:30,51.509414,-0.093791,Controlled drugs,1
6700,2022-05-03 13:46:25,51.517244,-0.080376,Evidence of offences under the Act,1
6701,2022-05-03 13:46:25,51.517244,-0.080376,Evidence of offences under the Act,1
6704,2022-05-03 20:37:28,51.506255,-0.074901,Article for use in theft,1
6705,2022-05-03 20:37:28,51.506255,-0.074901,Article for use in theft,1
6722,2022-05-05 15:48:13,51.506255,-0.074901,Article for use in theft,1
6723,2022-05-05 15:48:13,51.506255,-0.074901,Article for use in theft,1
6728,2022-05-06 01:54:08,51.515504,-0.07627,Controlled drugs,1
6729,2022-05-06 01:54:08,51.515504,-0.07627,Controlled drugs,1
6734,2022-05-06 13:21:51,51.514151,-0.074958,Controlled drugs,1
6735,2022-05-06 13:21:51,51.514151,-0.074958,Controlled drugs,1
6736,2022-05-06 17:03:49,51.517244,-0.080376,Controlled drugs,1
6737,2022-05-06 17:03:49,51.517244,-0.080376,Controlled drugs,1
6738,2022-05-06 21:19:44,51.516814,-0.08162,Controlled drugs,1
6739,2022-05-06 21:19:44,51.516814,-0.08162,Controlled drugs,1
6744,2022-05-07 19:06:21,51.511749,-0.108018,Controlled drugs,1
6745,2022-05-07 19:06:21,51.511749,-0.108018,Controlled drugs,1
6758,2022-05-10 12:29:51,51.512598,-0.084967,Article for use in theft,1
6759,2022-05-10 12:29:51,51.512598,-0.084967,Article for use in theft,1
6762,2022-05-10 19:23:33,51.517244,-0.080376,Stolen goods,1
6763,2022-05-10 19:23:33,51.517244,-0.080376,Stolen goods,1
6764,2022-05-11 13:42:52,51.522532,-0.114779,Article for use in theft,1
6765,2022-05-11 13:42:52,51.522532,-0.114779,Article for use in theft,1
6768,2022-05-11 17:25:09,51.51972,-0.099933,Controlled drugs,1
6769,2022-05-11 17:25:09,51.51972,-0.099933,Controlled drugs,1
6770,2022-05-11 17:31:06,51.517244,-0.080376,Stolen goods,1
6771,2022-05-11 17:31:06,51.517244,-0.080376,Stolen goods,1
6786,2022-05-13 15:06:09,51.512959,-0.094464,Article for use in theft,1
6787,2022-05-13 15:06:09,51.512959,-0.094464,Article for use in theft,1
6792,2022-05-14 22:02:06,51.518231,-0.112939,Stolen goods,1
6793,2022-05-14 22:02:06,51.518231,-0.112939,Stolen goods,1
6794,2022-05-15 17:24:29,51.514203,-0.094628,Stolen goods,1
6795,2022-05-15 17:24:29,51.514203,-0.094628,Stolen goods,1
6796,2022-05-15 17:58:19,51.517244,-0.080376,Offensive weapons,1
6797,2022-05-15 17:58:19,51.517244,-0.080376,Offensive weapons,1
6798,2022-05-16 14:38:10,51.516386,-0.108965,Controlled drugs,1
6799,2022-05-16 14:38:10,51.516386,-0.108965,Controlled drugs,1
6800,2022-05-16 15:02:50,51.506255,-0.074901,Offensive weapons,1
6801,2022-05-16 15:02:50,51.506255,-0.074901,Offensive weapons,1
6808,2022-05-17 14:45:39,51.513928,-0.108231,Controlled drugs,1
6809,2022-05-17 14:45:39,51.513928,-0.108231,Controlled drugs,1
6820,2022-05-19 07:41:58,51.517576,-0.079786,Controlled drugs,1
6821,2022-05-19 07:41:58,51.517576,-0.079786,Controlled drugs,1
6826,2022-05-19 14:39:26,51.514158,-0.100179,Controlled drugs,1
6827,2022-05-19 14:39:26,51.514158,-0.100179,Controlled drugs,1
